交易日期,ETF代码,收盘价
2014-01-02,511010.SH,94.227
2014-01-03,511010.SH,93.977
2014-01-06,511010.SH,93.793
2014-01-07,511010.SH,93.959
2014-01-08,511010.SH,94.217
2014-01-09,511010.SH,94.124
2014-01-10,511010.SH,94.189
2014-01-13,511010.SH,94.3
2014-01-14,511010.SH,94.22
2014-01-15,511010.SH,94.294
2014-01-16,511010.SH,94.292
2014-01-17,511010.SH,94.153
2014-01-20,511010.SH,94.103
2014-01-21,511010.SH,94.445
2014-01-22,511010.SH,94.731
2014-01-23,511010.SH,94.804
2014-01-24,511010.SH,94.737
2014-01-27,511010.SH,95.148
2014-01-28,511010.SH,95.105
2014-01-29,511010.SH,95.069
2014-01-30,511010.SH,95.104
2014-02-07,511010.SH,95.163
2014-02-10,511010.SH,95.172
2014-02-11,511010.SH,95.223
2014-02-12,511010.SH,95.224
2014-02-13,511010.SH,95.27
2014-02-14,511010.SH,95.408
2014-02-17,511010.SH,95.373
2014-02-18,511010.SH,95.417
2014-02-19,511010.SH,95.66
2014-02-20,511010.SH,95.594
2014-02-21,511010.SH,95.458
2014-02-24,511010.SH,95.618
2014-02-25,511010.SH,95.822
2014-02-26,511010.SH,95.822
2014-02-27,511010.SH,96.054
2014-02-28,511010.SH,96.018
2014-03-03,511010.SH,95.948
2014-03-04,511010.SH,95.594
2014-03-05,511010.SH,95.544
2014-03-06,511010.SH,95.616
2014-03-07,511010.SH,95.564
2014-03-10,511010.SH,95.561
2014-03-11,511010.SH,95.628
2014-03-12,511010.SH,95.635
2014-03-13,511010.SH,95.898
2014-03-14,511010.SH,95.938
2014-03-17,511010.SH,96.037
2014-03-18,511010.SH,95.853
2014-03-19,511010.SH,95.778
2014-03-20,511010.SH,95.729
2014-03-21,511010.SH,95.936
2014-03-24,511010.SH,95.944
2014-03-25,511010.SH,95.892
2014-03-26,511010.SH,95.887
2014-03-27,511010.SH,95.862
2014-03-28,511010.SH,95.704
2014-03-31,511010.SH,95.652
2014-04-01,511010.SH,95.602
2014-04-02,511010.SH,95.517
2014-04-03,511010.SH,95.514
2014-04-04,511010.SH,95.419
2014-04-08,511010.SH,95.493
2014-04-09,511010.SH,95.583
2014-04-10,511010.SH,95.689
2014-04-11,511010.SH,95.941
2014-04-14,511010.SH,96.036
2014-04-15,511010.SH,96.355
2014-04-16,511010.SH,96.051
2014-04-17,511010.SH,96.603
2014-04-18,511010.SH,96.625
2014-04-21,511010.SH,96.753
2014-04-22,511010.SH,96.364
2014-04-23,511010.SH,96.428
2014-04-24,511010.SH,96.103
2014-04-25,511010.SH,96.387
2014-04-28,511010.SH,96.249
2014-04-29,511010.SH,96.363
2014-04-30,511010.SH,96.694
2014-05-05,511010.SH,96.825
2014-05-06,511010.SH,96.911
2014-05-07,511010.SH,96.77
2014-05-08,511010.SH,96.923
2014-05-09,511010.SH,97.272
2014-05-12,511010.SH,97.182
2014-05-13,511010.SH,97.15
2014-05-14,511010.SH,97.025
2014-05-15,511010.SH,97.109
2014-05-16,511010.SH,97.115
2014-05-19,511010.SH,97.053
2014-05-20,511010.SH,97.067
2014-05-21,511010.SH,97.015
2014-05-22,511010.SH,97.137
2014-05-23,511010.SH,97.206
2014-05-26,511010.SH,97.327
2014-05-27,511010.SH,97.601
2014-05-28,511010.SH,97.604
2014-05-29,511010.SH,97.769
2014-05-30,511010.SH,97.875
2014-06-03,511010.SH,98.035
2014-06-04,511010.SH,98.438
2014-06-05,511010.SH,97.84
2014-06-06,511010.SH,97.91
2014-06-09,511010.SH,97.944
2014-06-10,511010.SH,97.925
2014-06-11,511010.SH,98.006
2014-06-12,511010.SH,97.828
2014-06-13,511010.SH,97.786
2014-06-16,511010.SH,98.177
2014-06-17,511010.SH,97.969
2014-06-18,511010.SH,97.982
2014-06-19,511010.SH,97.947
2014-06-20,511010.SH,98.034
2014-06-23,511010.SH,98.044
2014-06-24,511010.SH,98.284
2014-06-25,511010.SH,98.255
2014-06-26,511010.SH,98.065
2014-06-27,511010.SH,97.987
2014-06-30,511010.SH,97.933
2014-07-01,511010.SH,97.835
2014-07-02,511010.SH,97.759
2014-07-03,511010.SH,97.774
2014-07-04,511010.SH,97.772
2014-07-07,511010.SH,97.731
2014-07-08,511010.SH,97.395
2014-07-09,511010.SH,97.109
2014-07-10,511010.SH,96.754
2014-07-11,511010.SH,97.468
2014-07-14,511010.SH,97.572
2014-07-15,511010.SH,97.496
2014-07-16,511010.SH,97.265
2014-07-17,511010.SH,96.962
2014-07-18,511010.SH,96.93
2014-07-21,511010.SH,96.981
2014-07-22,511010.SH,97.069
2014-07-23,511010.SH,97.078
2014-07-24,511010.SH,97.039
2014-07-25,511010.SH,97.199
2014-07-28,511010.SH,97.196
2014-07-29,511010.SH,97.172
2014-07-30,511010.SH,97.345
2014-07-31,511010.SH,97.365
2014-08-01,511010.SH,97.844
2014-08-04,511010.SH,97.852
2014-08-05,511010.SH,97.931
2014-08-06,511010.SH,98.026
2014-08-07,511010.SH,97.855
2014-08-08,511010.SH,97.949
2014-08-11,511010.SH,97.993
2014-08-12,511010.SH,97.927
2014-08-13,511010.SH,98.0
2014-08-14,511010.SH,98.06
2014-08-15,511010.SH,98.183
2014-08-18,511010.SH,98.118
2014-08-19,511010.SH,98.081
2014-08-20,511010.SH,98.043
2014-08-21,511010.SH,97.986
2014-08-22,511010.SH,97.96
2014-08-25,511010.SH,97.959
2014-08-26,511010.SH,98.033
2014-08-27,511010.SH,97.956
2014-08-28,511010.SH,98.018
2014-08-29,511010.SH,98.038
2014-09-01,511010.SH,98.094
2014-09-02,511010.SH,98.061
2014-09-03,511010.SH,98.04
2014-09-04,511010.SH,98.019
2014-09-05,511010.SH,98.018
2014-09-09,511010.SH,98.046
2014-09-10,511010.SH,97.982
2014-09-11,511010.SH,97.97
2014-09-12,511010.SH,97.949
2014-09-15,511010.SH,98.041
